username,followers,following,tweets_count,verified,created_at,description,location,website,latest_tweet_date,avg_likes,avg_retweets,engagement_rate,is_valid,validation_notes
djcows,19414,927,76959,False,Sat Nov 20 18:42:10 +0000 2010,internet cow,,https://x.com/djcows,,,,,True,PASS
astraiaintel,53531,2732,46090,False,Sun Apr 23 12:24:34 +0000 2023,"Military Theorist and Researcher || Friendly 🤗 || Covering the Strategic Level of War || Interest: Europe, the ME, and the Asia-Pacific. 💛",,https://x.com/astraiaintel,,,,,True,PASS
benln,84006,401,27705,False,Tue Feb 24 01:00:02 +0000 2009,"@cursor_ai team, @nextplayso newsletter",,https://x.com/benln,,,,,True,PASS
StartupArchive_,125505,2,4860,False,Thu Sep 30 22:24:42 +0000 2021,Archiving the world's best startup advice for future generations of founders | New project: @foundertribune,Full Archive →,https://x.com/StartupArchive_,,,,,True,PASS
gregisenberg,551417,937,61574,False,Sat May 03 23:08:05 +0000 2008,"I run a portfolio of internet companies and host @startupideaspod. CEO: @latecheckoutplz we build companies like @ideabrowser, @meetLCA, @boringmarketer etc",more →,https://x.com/gregisenberg,,,,,True,PASS
ShaanVP,456263,13273,16030,False,Sun Jan 03 00:47:50 +0000 2010,I'm an idea dealer,"San Francisco, CA",https://x.com/ShaanVP,,,,,True,PASS
lukecodez,5255,2047,18532,False,Tue Feb 06 06:58:40 +0000 2024,learning. building. sharing.,19🪐,https://x.com/lukecodez,,,,,False,followers=5255 < 10000
aparup,1707,994,4404,False,Sat Oct 23 12:41:33 +0000 2021,"Growth Engineer @hyperbrowser (YC S21) | Diving deep into ML.
Building useful tools for people and developers.",Internet,https://x.com/aparup,,,,,False,followers=1707 < 10000
kanavtwt,11525,601,7607,False,Thu Dec 26 06:23:23 +0000 2024,"21, engineer. prev backend dev @ startups x3.
▪︎ https://t.co/BVHY2loNG2 → free and secure pdf tools in your browser",Ryzen 9 9950X3D,https://x.com/kanavtwt,,,,,True,PASS
UghDitya,4845,1131,5258,False,Thu Sep 24 10:56:55 +0000 2020,"I design absurd products.
Prev - @Microsoft | IDC, IITB",Mumbai,https://x.com/UghDitya,,,,,False,followers=4845 < 10000
Neerajscript,1772,909,9492,False,Sat Apr 12 10:25:33 +0000 2025,nonchalant cat lover,,https://x.com/Neerajscript,,,,,False,followers=1772 < 10000
LeviBetz,707,390,28651,False,Fri Mar 22 02:28:28 +0000 2013,"weird car fan, ice racer, nerd.","Anchorage, AK",https://x.com/LeviBetz,,,,,False,followers=707 < 10000
fishPointer,12398,2018,19989,False,Tue Dec 01 15:09:45 +0000 2020,electronomicon author,"Seattle, WA",https://x.com/fishPointer,,,,,True,PASS
shiri_shh,10710,905,5840,False,Thu Dec 25 05:14:29 +0000 2014,23 ▪︎ Locked in ▪︎ https://t.co/fRlOjnaZr1 — we help you monetize your twitter header + bio and earn passive income,,https://x.com/shiri_shh,,,,,True,PASS
halcy,984,636,23314,False,Wed Apr 09 11:48:56 +0000 2008,applied scientist @ ms  ·  prefer. https://t.co/X3DnrME33U · ideal for comfortable gameplay in relaxed locations. · https://t.co/60fRG4yFbV  · https://t.co/HsKWVQG7M6 · ❤@SaltyTuna,ＩＮＦＬＡＴＡＢＬＥ  ＰＬＥＡＳＵＲＥ  ＣＲＡＦＴ,https://x.com/halcy,,,,,False,followers=984 < 10000
ZyMazza,9977,842,69294,False,Wed Feb 08 05:34:23 +0000 2012,"At the intersection of Faith, Technology, and Arcana... You find Zy @meaningfuldream",,https://x.com/ZyMazza,,,,,False,followers=9977 < 10000
samirande_,13360,2207,37338,False,Mon Dec 02 14:28:35 +0000 2024,18. learning cool stuffs,Pluto,https://x.com/samirande_,,,,,True,PASS
strawbhaze,3472,1178,13822,False,Sun Nov 24 16:13:46 +0000 2019,she got away.,22 she/her ⚢,https://x.com/strawbhaze,,,,,False,followers=3472 < 10000
FalconryFinance,121026,3225,149750,False,Sat Nov 21 03:30:06 +0000 2020,"Falcon Backed Securities consist of prime bird, subprime bird, and junk bird, all balanced to satisfy a AAA rating by major agencies.","Dubai, United Arab Emirates",https://x.com/FalconryFinance,,,,,True,PASS
FluentInFinance,434414,208,35750,False,Fri Mar 12 00:04:37 +0000 2021,"I write https://t.co/mkgnr1Cb9H, trusted by 100,000+ to get smarter with money, investing, geopolitics & the economy. 20yrs in finance. Follow for daily posts!","Join 100,000 subscribers  ➜",https://x.com/FluentInFinance,,,,,True,PASS
SoSoValueCrypto,984137,19,4490,False,Sat Apr 16 12:35:21 +0000 2022,"Investors centric crypto investment powerhouse. Cut the noise, find true value. Join SoDEX Whitelist - https://t.co/UPUBrsj3vk 🌲 https://t.co/nMPvA5BgK8",,https://x.com/SoSoValueCrypto,,,,,True,PASS
NFAdotcrypto,79170,1636,4773,False,Fri Mar 04 16:50:13 +0000 2022,Join the NFA Research Group 🤝 | Crypto deep dives | Occasional bangers 🎶 | Not financial advice,United States,https://x.com/NFAdotcrypto,,,,,True,PASS
saylordocs,70900,1,5097,False,Fri Jan 01 20:54:54 +0000 2021,"Follow for Daily Bitcoin data, updates and Saylor insights",,https://x.com/saylordocs,,,,,True,PASS
naiivememe,323153,242,29750,False,Wed Dec 01 04:41:18 +0000 2021,🔥Subcribe naiive for moar memes and a cat follow 🐈,,https://x.com/naiivememe,,,,,True,PASS
AirdropStario,1620382,0,2766,False,Mon Sep 16 02:36:39 +0000 2019,"Hello dear followers! 

We'll do our best to share the legitimate airdrops timely.

Support: https://t.co/A9FO4fQilK

#Airdrop #Bitcoin #AirdropStario #Crypto",,https://x.com/AirdropStario,,,,,True,PASS
Greencandleit,12769,2487,22508,False,Sun Apr 11 21:24:59 +0000 2021,🟩🕯@keysopen_doors | State of #Bitcoin and Macro Insights YouTube | Green Candle investments newsletter | DM for sponsorship opportunities | Not FA,,https://x.com/Greencandleit,,,,,True,PASS
BitcoinJunkies,40309,34,2781,False,Fri Jul 04 00:49:05 +0000 2025,24/7 Bitcoin News & Insights | Turn On Post Notifications, ₿TC,https://x.com/BitcoinJunkies,,,,,True,PASS
shahh,398235,17518,225320,False,Wed Nov 08 00:45:56 +0000 2017,degen retard | https://t.co/egjYHG6EEt | only tg: shahwtf | https://t.co/fDZqZQ4l03 | always nfa | using: @bloomtrading | mostly respond to DMs on TG,hi,https://x.com/shahh,,,,,True,PASS
TommiPedruzzi,73024,99,11528,False,Fri Apr 01 13:04:45 +0000 2022,7-Figure by selling eBooks on Amazon KDP (without writing) • CEO & Founder at @nespola_io,Next AI + eBooks Masterclass➡️,https://x.com/TommiPedruzzi,,,,,True,PASS
Leooweb3,142154,72124,35857,False,Sun Sep 17 09:26:55 +0000 2023,Crypto | My tweet NFA DYOR  | Ambasador  | KOLs Manager | Partner @Crypto_Kultur3 & @TMC_collage | DM FOR INQUIRIES,For Business 👉 DM,https://x.com/Leooweb3,,,,,True,PASS
